Peaks	151 avg	154 avg	156 avg	158 avg	222 avg	278 avg	544 avg	561 avg	568 avg
2036498	1045.311219	586.9984201	521.5872982	516.4556275	515.3663354	248.7419488	731.6372652	477.9681791	438.9187023
2037512	1078.023175	699.7007089	660.7523957	626.3069309	515.9353824	225.3427939	693.9229189	627.898697	480.9254957
2039630	1048.812418	677.8827363	831.4506491	667.2747494	612.3245763	262.3115054	824.8487867	556.3581234	550.2518754
2040895	1189.15806	730.0269651	735.6010228	674.6664589	517.2418409	330.3966617	827.2905246	585.3370085	496.5618489
2041043	1237.617933	762.7159462	774.0038396	799.1224437	596.2537366	361.8248986	874.2276788	606.4381052	590.4332831
2422185	1030.084564	812.0194424	939.8786803	917.8756723	655.444842	349.4517145	829.1983061	544.5341144	601.4732626
2444398	8.418552129	166.830184	61.94085181	18.65719143	885.1268875	27.87236489	170.7157705	321.1122575	736.3741618
2477339	983.4933703	634.5199684	712.0360033	657.9707543	525.9524127	243.1519116	703.7201046	493.5649495	526.2510303
2477468	890.208144	601.2393431	909.5315786	719.6099538	510.2806775	376.5846614	585.4425608	447.9251197	533.5682709
2478717	727.5975298	611.8349238	775.7600676	669.0319808	494.2525685	265.3037512	611.850031	478.808062	481.8085055
2478901	947.2724644	808.0783657	783.3638599	800.5015364	547.5369631	334.3177684	868.2277284	684.807454	544.1236164
2568048	20.89274268	1602.725841	748.9863112	20.664079	7797.727025	283.7953512	1939.788858	1779.96541	7130.424098
2647472	118.1610597	1094.301547	1597.726957	187.1615504	2294.224758	761.6448597	2963.549555	3484.885773	1546.813436
2677542	23.24405358	9811.638177	1878.999859	45.17324108	17187.87623	136.6566627	53.68186247	90.65008702	11243.2962
2721761	410.1494198	315.4302157	269.3573739	307.1279071	431.0183913	168.4103826	382.903763	278.4230792	419.9668055
2859603	721.1883615	462.855937	541.7766999	560.6428305	492.6774039	263.68227	481.7571089	365.8455767	433.7186663
2866123	1320.122158	790.9717703	592.3073905	579.1281861	623.8875414	221.4534786	837.572983	597.2990877	635.8056639
2867864	1287.782955	529.8448418	580.7983815	569.6436557	592.565048	178.8892174	788.5069435	454.2545109	539.2331442
2870549	1546.594942	704.1977759	767.5548155	826.1366817	587.309182	363.8976163	935.1752394	616.2800754	577.265176
2870709	1377.263539	696.8217476	745.6752038	744.5311179	600.9588517	303.8407419	980.5749348	584.9928906	586.9444664
2870815	1120.485504	641.9663077	657.1993118	662.6246691	603.1928911	293.7913167	811.4436594	528.4192932	512.9684568
2910738	487.4061352	210.624841	338.1346452	912.5726006	347.0098628	387.6034474	308.4263867	248.9272365	427.6475613
3174873	1024.389701	616.1736429	525.0144518	584.3357234	533.9097089	286.6001288	705.2262228	444.3583081	510.8270389
3175027	1068.548194	585.7501531	601.4110619	559.2580495	602.4440662	216.4985488	776.6410614	443.1576681	567.6985609
3181581	1246.541347	806.2387584	647.914666	693.7099385	538.7817835	324.3800665	993.3309352	670.5511894	564.7893833
3182110	941.2950993	642.8035841	657.466271	689.3573774	497.3953972	301.3473008	725.1875381	480.4999997	493.5920373
3183400	1201.197252	589.9501166	633.018898	644.7788966	576.6127008	251.5720588	907.0585057	570.7851438	562.9504781
3183679	1317.154591	768.438346	762.6077934	844.8790374	621.275916	344.1045378	1025.340924	635.1227914	669.7845754
3183968	1154.423357	827.0748802	593.5059253	698.3503362	544.0881094	252.0431203	890.3166849	653.7512305	525.433374
3184251	998.1760716	670.4330702	548.0018895	609.2040295	513.3751167	248.1956576	845.0000371	537.1278562	479.8077843
3188223	243.5930645	258.0039517	221.0232081	300.4008863	556.7523653	969.3382066	258.9999152	339.1471701	338.586395
3236436	5.398100228	4885.018523	1217.361145	18.06896485	3334.980996	111.0284914	274.7494764	342.0788307	2999.668126
3364761	4.890775394	37.02776657	14.21151185	7.750189934	423.7073323	18.75572495	93.98358685	111.9608474	343.8176277
3405263	973.3917977	584.7355699	545.4440716	597.2536803	478.8686228	217.7654165	672.3566652	494.4064596	468.5400498
3405951	1047.747586	719.8141617	897.9331595	913.112627	597.1300044	337.0426387	835.5696455	495.2797434	540.4302192
3407018	871.4699447	668.959193	677.9011048	700.2210794	492.6102103	262.0221867	772.4326906	527.5348742	482.6451479
3512549	1282.901662	644.8726663	441.2183644	529.8713106	509.6334941	222.9891141	1051.167814	510.571495	447.8525025
3515027	964.7410041	581.2002458	627.0761314	614.9891504	451.6062934	230.4492309	629.0905658	543.1481286	495.3415142
3561157	340.6213278	336.4796849	283.0509332	367.1722889	453.3909121	174.7310947	388.6029368	419.9940398	392.8976141
3561969	314.7989219	348.0013498	169.0568449	162.9246612	2238.420609	105.9594227	1093.091005	1218.813174	1286.980857
3600666	5.971894166	206.6377523	97.76981702	12.24075111	555.4785433	35.81327982	205.0546815	277.3538508	517.6252109
3831541	373.5089621	628.9983717	460.6069101	211.2768988	3119.509431	169.468354	1056.073	1767.945039	1815.431215
4133306	1013.110988	639.864959	488.8440281	485.9029746	470.6051769	214.8813141	689.6189625	523.3060332	424.9186297
4134459	880.2554969	706.6019332	469.711514	470.9002239	452.6898263	275.415191	681.1521869	521.6364139	459.7453167
4134700	1241.034184	808.8205999	620.8658104	732.7889664	509.6915226	348.4029124	870.4827354	708.4135404	537.9116287
4285523	136.555843	272.9348873	148.7979194	131.315164	1059.755133	99.70303425	359.3310739	405.6712685	826.4952896
4313855	127.658278	2645.484964	3051.642307	141.1819383	2800.541886	556.0833043	2295.921288	2597.874091	1970.412827
4314560	137.2738049	651.9380623	932.8829958	180.0245906	620.430725	377.0667255	885.9098903	974.9237476	416.5879762
4354082	1369.678663	703.9071559	568.374826	644.6905927	527.952221	224.4990107	1015.730605	482.5752765	483.8146744
4354199	1302.616409	634.3402344	528.0839462	596.6844367	498.1980464	237.0902183	898.94115	450.2493237	466.0335173
4355373	1611.462314	755.8904502	816.0169192	792.3282708	659.5040377	280.1287469	1203.155434	594.1513613	657.2506047
4382169	39.32868247	1398.370302	530.1780682	34.55495572	1136.777346	232.5055623	735.6399864	880.7329679	979.222255
4400553	1442.019401	750.1257974	707.6241233	809.5058112	613.8224213	302.6315259	1118.781377	518.2006405	567.3470766
4400847	1405.410534	897.8637726	788.9442863	785.7058498	613.0695363	363.0508824	1110.243023	578.2558729	538.0102187
4402913	1352.402844	587.9653758	461.1593735	529.5093223	456.1801017	221.6873903	883.3553653	452.4807502	430.5936943
4405414	1072.408011	659.0641131	711.9151394	689.4318733	534.5444184	223.6661063	808.4845045	573.3644016	465.3002971
4425570	8.746765679	3189.214489	1422.683303	17.62348156	7939.235307	393.9327762	3470.259313	6100.862625	4751.61702
4576933	811.021854	567.9956751	432.9001795	511.2246628	428.1189305	253.4015692	653.9979565	444.8975199	423.0323748
4587198	963.6605363	557.4782096	651.3912018	578.5232425	543.3151758	233.2839789	700.2167164	486.109156	486.3520731
4587495	1261.350112	651.1497169	633.4704999	571.8535796	631.1401453	231.8253469	914.7597179	537.5864379	587.4436719
4752954	1294.720971	650.902712	564.9386421	586.5742868	563.2372728	230.6825753	950.3471344	537.5661327	554.0583342
4753616	1431.756414	707.245014	718.2396227	751.1497911	539.0119814	343.5075841	963.8493879	507.9460624	515.3033106
4754176	1480.244794	723.0374613	661.1838625	705.821443	578.4804249	297.5173888	1001.660089	586.939628	523.867372
4754652	1406.107338	706.0933642	846.588637	818.3202388	609.7498659	354.9719404	929.2075957	560.7522793	559.5148193
4754878	1389.6202	738.0316621	749.4119895	712.7572937	632.400256	337.6932801	908.0775961	544.3228055	595.3250706
4755307	1512.050559	738.6766687	586.1520722	610.7120921	580.7324943	294.500856	1001.866902	475.0634198	564.8866904
4755608	951.9115553	461.6502698	376.8654567	396.4700016	414.8827797	143.3760063	699.7884187	381.1683931	406.7483619
5159548	12.72804403	236.2519265	36.56683796	40.32189896	881.2236121	62.29281543	65.95878243	106.4357276	558.303117
5219733	1442.427146	534.6844994	1455.010208	3658.426935	912.1786838	634.9981728	879.3649921	541.4421257	910.64819
5233092	1203.86138	746.0341318	794.0813558	766.6541486	662.5331618	306.3437686	819.2516956	614.7007292	610.2155372
5236558	1006.168981	606.3758337	484.6339292	498.6079693	491.5295209	220.0249658	777.414484	488.4435811	445.0833163
5236864	781.1135036	525.0958415	604.5436666	554.2085933	471.662222	214.3570133	539.9873071	490.0709449	380.2761335
5236985	762.7207415	493.823575	525.9770125	541.4024648	487.3713179	237.7433248	499.6386165	454.86274	409.1807076
5268881	29.37484076	247.0654078	62.18784769	27.07050063	679.4590102	60.8704443	150.2237188	185.1584444	566.565468
5270523	693.432572	476.0782655	521.6985149	537.0427358	434.2646235	211.6912985	496.5819475	374.1256141	377.5117984
5275584	1362.511592	740.9361041	845.8387121	864.7673914	632.2232956	386.1530333	944.7597869	608.9561845	619.284275
5276703	1107.346581	905.4624154	659.356544	661.0521111	465.9285532	241.0641603	742.338101	558.8307417	452.2304897
5291283	915.8042158	578.7947943	554.3622652	621.1289943	439.0007855	255.2052292	623.8692603	470.7586371	443.2104375
5300407	1074.015198	588.725255	800.4977638	614.0574289	536.4611312	254.4117643	837.2967424	466.0640447	527.952918
5300796	1528.062291	733.017474	773.633653	828.1283871	654.3143734	269.5220031	960.9634599	577.691844	644.1390195
5301027	1146.92662	568.6563618	565.5044964	603.7090203	521.8147717	225.8138405	799.584082	524.4475009	498.9461261
5305066	1400.168922	761.5126839	839.0718876	769.8181092	596.2652494	320.6473175	870.8132002	579.2826733	596.4010707
5330676	1243.024382	762.2252086	827.1676711	772.4461953	557.9254644	332.1859323	947.1834961	521.5641285	520.9545232
5331461	1245.106109	940.9846433	978.546421	1117.150166	598.1934185	373.4381806	919.2366551	679.0906375	548.2766981
5331638	1201.362774	852.4487187	819.8583477	942.4539476	611.9200451	398.2234259	794.662782	648.7326463	540.9478112
5352651	707.6577231	483.5063597	426.1162161	466.6887621	427.505274	218.3620135	490.18876	440.0634331	381.7325966
5352994	1181.709545	681.512986	500.9522722	542.51624	525.1503649	203.9425988	882.7512041	637.7613808	482.3301154
5403392	6709.485424	3102.846994	5855.20198	7831.374367	3058.531082	4584.547684	3222.478452	3161.807523	2619.990525
5414219	62.92668028	508.3147401	207.2223525	39.26344077	967.3838814	186.0446623	644.0512526	620.9301083	1090.747055
5515082	632.2513082	186.2660045	546.0823621	1129.125764	369.2381002	165.7942502	301.8143056	225.0751355	347.0686708
5996355	1225.503954	824.2731303	804.8389961	865.9866636	536.5076672	292.2846334	795.9595607	550.1934467	504.8631058
5996882	981.9531866	826.9225308	594.2106025	531.8728073	416.3111345	184.5899003	677.8243686	513.4533474	450.1492228
5998097	1009.06605	746.2140417	832.8236669	827.2089458	509.796329	300.5510289	698.1850566	555.332279	520.2071583
5999094	1448.297639	910.4206124	671.8066627	797.6441138	567.6952195	249.7096793	1114.655299	678.5197169	518.6873833
6082366	23.15138626	1291.516983	673.5479	34.44534721	10477.03766	120.7069738	1507.052909	4067.479241	6109.485554
6093032	16.5411172	205.1497864	50.90728041	44.74183263	3285.237203	83.00966603	269.1940739	333.9489167	2756.224692
6199144	607.6908839	468.7609504	713.6857407	793.3269957	472.2642765	354.9616711	517.4515327	364.7743388	432.8191244
