Start	Stop	Strand	Number of Genes	Genes
520909	523031	+	2	PA14_05880, PA14_05890
535279	538181	+	3	PA14_06040, creB, creC
540138	541727	-	2	PA14_06120, PA14_06130
545340	546826	-	2	PA14_06170, PA14_06180
557442	558432	+	2	PA14_06300, PA14_06310
560220	562014	-	2	PA14_06330, PA14_06340
564699	569016	+	5	PA14_06420, PA14_06430, PA14_06450, PA14_06460, PA14_06480
570781	574208	+	4	bioF, PA14_06530, PA14_06540, bioD
581088	590077	-	11	nirN, nirE, nirJ, nirH, nirG, nirL, PA14_06710, nirF, nirC, nirM, nirS
590293	595669	+	6	nirQ, PA14_06790, PA14_06800, norC, norB, PA14_06840
595676	596637	-	2	PA14_06860, dnr
597970	600794	+	4	PA14_06890, PA14_06900, PA14_06920, PA14_06930
603247	605108	+	2	PA14_06960, PA14_06970
605219	607453	-	3	PA14_06980, PA14_06990, dsbB
613682	615889	-	2	metK, PA14_07110
616135	619196	+	2	tktA, PA14_07140
620189	622419	+	2	epd, pgk
623313	624925	+	2	fda, PA14_07240
627637	629305	+	2	PA14_07290, PA14_07300
632869	634778	-	4	PA14_07380, PA14_07400, PA14_07410, PA14_07420
647191	651935	-	4	rpoD, dnaG, PA14_07550, rpsU
653893	654779	+	2	folB, PA14_07600
656028	659450	-	3	PA14_07630, PA14_07650, PA14_07660
662128	664202	-	3	apaH, apaG, ksgA
664318	669348	-	3	pdxA, surA, ostA
669475	671922	+	3	PA14_07780, PA14_07790, PA14_07800
673136	676207	+	2	PA14_07820, PA14_07840
677604	679815	+	2	PA14_07860, PA14_07870
682237	683729	+	2	rpe, PA14_07930
687109	687716	+	2	PA14_07970, PA14_07980
688080	689620	+	3	PA14_07990, PA14_08000, PA14_08010
689773	711431	+	26	PA14_08020, PA14_08030, PA14_08040, PA14_08050, PA14_08060, PA14_08070, PA14_08090, PA14_08100, PA14_08110, PA14_08120, PA14_08130, PA14_08140, PA14_08150, PA14_08160, PA14_08180, PA14_08190, PA14_08200, PA14_08210, PA14_08220, PA14_08230, PA14_08240, PA14_08250, PA14_08260, PA14_08270, PA14_08280, PA14_08300
712461	714042	+	3	PA14_08310, PA14_08320, PA14_08330
714461	716950	+	3	trpG, trpD, trpC
722204	724147	-	2	PA14_08440, PA14_08450
724269	725676	-	2	PA14_08460, PA14_08470
725967	728143	+	3	argC, PA14_08490, PA14_08500
728625	731062	-	2	anmK, PA14_08540
738405	740799	+	3	birA, PA14_08630, PA14_08640
742681	743592	+	2	secE, nusG
743709	744835	+	2	rplK, rplA
745034	745981	+	2	rplJ, rplL
746203	754541	+	2	rpoB, rpoC
754693	759009	+	4	rpsL, rpsG, fusA1, tufA
759165	765757	+	15	rpsJ, rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplN, rplX, rplE, rpsN
765947	769840	+	8	rpsH, rplF, rplR, rpsE, rpmD, rplO, secY, rpmJ
769971	772829	+	5	rpsM, rpsK, rpsD, rpoA, rplQ
778276	780178	+	2	PA14_09195, ssb
780267	784394	-	4	pchA, pchB, pchC, pchD
785708	799926	+	5	pchE, pchF, pchG, PA14_09300, PA14_09320
800018	802461	+	2	fptA, PA14_09350
802793	805205	+	2	PA14_09370, PA14_09380
806856	813135	-	7	phzG1, phzF1, phzE1, phzD1, phzC1, phzB1, phzA1
814846	820974	-	4	opmD, mexI, mexH, mexG
830905	833828	+	2	PA14_09680, PA14_09690
835206	837600	-	2	PA14_09710, PA14_09730
839129	841270	-	2	PA14_09750, PA14_09760
841579	843094	+	2	PA14_09770, PA14_09780
843098	844483	-	2	PA14_09790, PA14_09810
853407	854793	-	2	PA14_09930, PA14_09940
862150	864247	-	2	PA14_10020, PA14_10040
864434	866321	-	3	PA14_10050, PA14_10070, PA14_10080
870437	873423	-	3	fepG, fepD, fepB
875397	878856	+	2	PA14_10200, PA14_10210
880045	886145	-	6	adh, PA14_10240, acoB, PA14_10260, PA14_10270, PA14_10280
889157	895379	-	5	PA14_10320, PA14_10330, PA14_10340, PA14_10350, PA14_10360
898045	898562	-	2	PA14_10400, PA14_10410
901559	903275	+	2	PA14_10470, PA14_10480
905308	908542	-	2	PA14_10530, PA14_10540
908648	910806	+	2	PA14_10550, PA14_10560
910888	913832	-	3	PA14_10570, hpcG, PA14_10600
913925	915251	-	2	hpcD, hpcB
915383	918289	-	3	hpcC, PA14_10640, PA14_10650
918509	920275	+	2	PA14_10660, aph
920399	923847	-	3	PA14_10680, PA14_10700, PA14_10710
932168	933824	-	2	PA14_10780, ampC
940586	945029	-	4	PA14_10870, PA14_10890, PA14_10900, PA14_10910
947387	949493	-	2	PA14_10960, PA14_10970
950502	952606	-	2	hpaC, hpaA
953365	956341	-	3	PA14_11020, PA14_11030, PA14_11050
956812	958158	+	2	cupB1, cupB2
958480	961751	+	2	cupB3, cupB4
967444	971198	-	2	PA14_11130, PA14_11140
971409	971986	-	2	PA14_11150, PA14_11160
975501	977544	+	2	PA14_11210, PA14_11230
978924	980730	+	2	PA14_11250, PA14_11260
982017	984525	-	3	PA14_11280, PA14_11290, PA14_11310
985718	987788	-	3	PA14_11340, PA14_11350, PA14_11370
987974	989556	+	2	nrdR, ribD
989984	991767	+	2	ribC, ribB
991885	995734	+	6	ribH, nusB, thiL, pgpA, PA14_11480, PA14_11490
995865	997695	+	3	ribA, PA14_11520, PA14_11530
999811	1000937	-	2	ispA, xseB
1002496	1006974	-	4	PA14_11590, PA14_11600, PA14_11610, PA14_11620
1007379	1010699	-	2	PA14_11630, PA14_11650
1013779	1015277	-	2	PA14_11700, PA14_11720
1018515	1022248	-	3	PA14_11760, eutB, PA14_11790
1026406	1028676	+	3	mpl, PA14_11860, PA14_11880
1031915	1033648	+	3	PA14_11920, PA14_11930, PA14_11940
1033659	1035688	-	2	PA14_11960, PA14_11970
1038138	1046042	+	8	proA, nadD, PA14_12030, PA14_12050, pbpA, rodA, sltB1, PA14_12090
1046108	1049253	+	4	dacC, PA14_12110, lipB, lis
1053645	1058031	-	3	holA, PA14_12210, leuS
1058202	1059467	+	2	PA14_12260, PA14_12270
1061238	1063568	-	3	PA14_12300, PA14_12310, PA14_12330
1066311	1069069	-	3	hemL, thiE, thiD
1071822	1074558	+	3	PA14_12440, PA14_12450, PA14_12470
1080409	1082047	-	2	PA14_12590, PA14_12610
1085222	1087616	-	3	PA14_12640, PA14_12650, PA14_12670
1088521	1089678	-	2	PA14_12690, PA14_12700
1091836	1094407	+	3	PA14_12740, PA14_12750, PA14_12760
1102008	1106297	+	5	PA14_12840, PA14_12850, PA14_12860, tesB, PA14_12890
1107458	1110134	+	3	PA14_12920, PA14_12940, PA14_12960
1117899	1120560	+	3	cioA, cioB, PA14_13050
1126214	1129567	+	2	PA14_13130, PA14_13140
1138820	1140007	+	3	moaC, moaD, moaE
1140109	1141886	+	2	moaB1, moeA1
1142001	1144407	+	3	PA14_13290, PA14_13300, PA14_13320
1144659	1148600	+	2	PA14_13330, PA14_13340
1148922	1151715	-	5	PA14_13350, PA14_13360, PA14_13370, PA14_13380, PA14_13390
1154465	1158373	-	3	fecA, PA14_13450, PA14_13460
1162672	1166354	+	2	PA14_13520, PA14_13530
1167617	1171112	-	4	PA14_13580, PA14_13590, PA14_13600, PA14_13610
1172887	1174062	-	2	PA14_13630, PA14_13650
1174167	1176155	-	3	PA14_13660, PA14_13670, PA14_13680
1176243	1177472	-	2	PA14_13690, PA14_13710
1178118	1180642	-	2	narL, narX
1180817	1192296	+	8	narK1, narK2, narG, narH, narJ, narI, PA14_13840, moaA
1192617	1193138	-	2	PA14_13870, PA14_13880
1196245	1198262	+	2	PA14_13940, PA14_13950
1198334	1198694	-	2	PA14_13960, PA14_13970
1200057	1202849	-	3	PA14_14000, PA14_14010, PA14_14020
1210134	1211860	+	3	PA14_14140, PA14_14150, PA14_14160
1211981	1213672	+	2	PA14_14170, PA14_14200
1220135	1221495	-	2	PA14_14300, PA14_14310
1223012	1225946	-	2	PA14_14340, PA14_14360
1226065	1228813	-	3	PA14_14370, PA14_14380, PA14_14390
1234554	1236846	-	3	PA14_14450, holC, pepA
1237183	1239002	+	2	PA14_14480, PA14_14490
1239195	1241373	+	2	PA14_14500, PA14_14510
1243940	1244495	+	2	PA14_14540, PA14_14550
1244929	1250338	+	5	queA, tgt, yajC, secD, secF
1252142	1253691	+	2	PA14_14690, cysE
1253836	1259346	+	8	PA14_14710, iscS, PA14_14740, PA14_14750, hscB, hscA, fdx2, PA14_14810
1259590	1267236	+	8	ndk, PA14_14830, pilF, PA14_14860, ispG, hisS, PA14_14900, PA14_14910
1269092	1271022	+	2	PA14_14940, PA14_14960
1282296	1283401	+	2	PA14_15120, PA14_15130
1285902	1287673	-	2	PA14_15180, PA14_15190
1288938	1292204	-	3	PA14_15210, xseA, PA14_15240
1293079	1296317	-	3	PA14_15260, PA14_15270, PA14_15280
1297693	1300819	+	2	guaB, guaA
1304052	1305789	+	2	repA, PA14_15400
1307101	1311098	-	6	PA14_15435, merE, merD, merA, merP, merT
1311858	1312361	+	2	PA14_15490, PA14_15500
1313291	1315988	+	3	trbJ, PA14_15530, PA14_15540
1321218	1324512	+	2	PA14_15590, PA14_15600
1328012	1330193	+	2	PA14_15620, PA14_15630
1332509	1334439	+	2	PA14_15670, PA14_15680
1338564	1342745	+	2	purL, PA14_15750
1343444	1350596	-	5	PA14_15780, PA14_15790, PA14_15810, PA14_15820, PA14_15830
1350839	1351956	-	2	PA14_15840, PA14_15850
1352097	1355431	+	5	PA14_15860, PA14_15870, PA14_15880, purT, PA14_15910
1357056	1359161	-	2	PA14_15930, PA14_15940
1361045	1362604	+	3	rpsP, rimM, trmD
1368457	1371223	+	2	hom, thrC
1374776	1378728	+	4	PA14_16140, PA14_16150, PA14_16160, PA14_16180
1378878	1384829	+	2	PA14_16190, PA14_16200
1384936	1387234	+	2	PA14_16210, recJ
1391688	1392282	+	2	PA14_16290, PA14_16300
1405645	1413050	+	6	wspA, PA14_16440, wspC, wspD, PA14_16470, wspF
1418127	1419982	+	2	PA14_16560, PA14_16580
1420051	1422537	+	4	PA14_16590, PA14_16600, PA14_16610, PA14_16620
1422613	1423851	-	2	PA14_16630, PA14_16640
1431174	1433160	+	3	PA14_16710, PA14_16720, PA14_16730
1433233	1434757	+	2	PA14_16740, PA14_16750
1434813	1436904	+	2	PA14_16770, PA14_16780
1437645	1441830	+	2	PA14_16800, PA14_16820
1446019	1450515	+	4	PA14_16870, PA14_16880, PA14_16890, PA14_16910
1450522	1452146	-	2	PA14_16920, PA14_16930
1452241	1454288	-	3	dapD, PA14_16960, PA14_16970
1457967	1461895	-	2	PA14_17030, glnD
1465051	1470493	+	6	pyrH, frr, uppS, cdsA, dxr, PA14_17140
1472999	1474566	+	2	PA14_17170, lpxD
1474612	1477570	+	4	fabZ, lpxA, lpxB, rnhB
1483003	1485351	+	2	accA, PA14_17280
1485522	1490406	+	5	pyrG, kdsA, eno, PA14_17330, ispD
1490467	1492891	-	3	PA14_17350, PA14_17370, PA14_17380
1493023	1495040	+	2	adhC, PA14_17410
1495111	1498053	+	4	ispF, truD, surE, pcm
1500527	1503484	-	2	fdxA, mutS
1505405	1506912	+	2	recA, recX
1506934	1509490	-	2	PA14_17550, PA14_17570
1512199	1512849	-	2	PA14_17590, PA14_17600
1514178	1516930	-	3	potC, potB, potA
1518968	1520064	+	2	PA14_17670, dgkA
1521988	1522403	+	2	rpmE2, rpmJ
1524359	1526844	+	2	PA14_17740, PA14_17760
1529470	1536037	+	5	PA14_17810, PA14_17820, PA14_17850, PA14_17860, PA14_17880
1542808	1545204	-	2	glpK, glpF
1554529	1556934	+	2	mmsA, mmsB
1558980	1560308	-	2	PA14_18160, PA14_18180
1563719	1569292	+	3	PA14_18250, fruK, fruA
1569445	1578269	-	8	PA14_18300, PA14_18310, PA14_18320, arnT, PA14_18340, PA14_18350, PA14_18360, PA14_18370
1581022	1583774	-	2	algJ, algI
1584016	1592291	-	6	algL, algX, algG, algE, algK, alg44
1597097	1599101	-	2	PA14_18600, argF
1609324	1611041	-	2	rnt, pyrC
1614329	1620116	+	3	PA14_18760, PA14_18780, PA14_18790
1621282	1627376	+	5	PA14_18810, PA14_18820, PA14_18830, PA14_18850, PA14_18860
1627864	1634357	-	7	nth, PA14_18890, PA14_18900, PA14_18910, PA14_18920, PA14_18930, PA14_18950
1635662	1641403	-	2	pldA, PA14_18985
1641698	1646315	-	4	PA14_19010, PA14_19020, PA14_19030, metG
1648632	1650865	+	2	rhlA, rhlB
1652656	1655312	+	3	pheC, PA14_19150, PA14_19160
1658203	1660546	-	3	PA14_19205, PA14_19210, PA14_19230
1667115	1670152	-	2	PA14_19330, PA14_19340
1670289	1673239	-	2	PA14_19350, PA14_19360
1685805	1688383	+	3	PA14_19500, PA14_19510, PA14_19520
1689249	1693332	+	5	PA14_19540, ssuD, PA14_19570, ssuB, PA14_19590
1693512	1694213	-	2	PA14_19600, PA14_19610
1694342	1695997	-	3	folX, folE1, PA14_19640
1698525	1699587	+	2	PA14_19680, PA14_19690
1699716	1701388	+	2	PA14_19700, PA14_19710
1703714	1705499	-	2	PA14_19750, PA14_19770
1706618	1709802	+	2	PA14_19810, PA14_19830
1714667	1717888	+	3	PA14_19900, PA14_19910, PA14_19920
1717889	1719267	-	3	PA14_19930, PA14_19940, PA14_19950
1719866	1721727	+	3	PA14_19970, PA14_19990, PA14_20000
1725533	1730003	+	3	hasD, hasE, PA14_20050
1731056	1734728	+	4	PA14_20080, PA14_20100, PA14_20110, PA14_20120
1736789	1744455	-	6	nosL, nosY, nosF, nosD, nosZ, nosR
1745467	1746985	-	2	PA14_20260, rhlG
1748289	1750182	+	2	phnC, phnD
1750250	1755677	+	7	phnE, phnF, phnG, phnH, phnI, phnJ, phnK
1755728	1758915	+	4	phnL, phnM, phnN, phnP
1758954	1759704	-	3	PA14_20460, PA14_20470, PA14_20480
1762508	1766671	+	3	PA14_20510, PA14_20520, PA14_20530
1768608	1772617	+	4	amiE, PA14_20570, amiC, amiR
1774674	1776765	+	2	PA14_20620, PA14_20630
1780802	1782759	+	2	PA14_20680, PA14_20690
1782763	1784431	-	3	PA14_20700, flgN, flgM
1787554	1789992	+	3	PA14_20770, PA14_20780, PA14_20800
1801165	1803175	-	2	PA14_20900, PA14_20920
1803293	1816675	-	8	PA14_20940, fabH2, PA14_20960, cyp23, PA14_20980, PA14_21000, PA14_21010, PA14_21020
1818107	1821654	-	3	PA14_21040, PA14_21050, PA14_21060
1826612	1827906	-	2	PA14_21120, PA14_21130
1828013	1831414	-	4	PA14_21140, PA14_21150, PA14_21160, PA14_21175
1846437	1847854	-	2	phaJ1, PA14_21320
1850024	1852044	+	2	fadD1, PA14_21380
1858574	1861983	+	3	PA14_21450, PA14_21460, PA14_21470
1862506	1865723	+	2	PA14_21480, PA14_21490
1867837	1869736	+	3	PA14_21540, PA14_21550, PA14_21560
1870142	1872653	+	4	PA14_21570, PA14_21580, PA14_21590, PA14_21600
1877635	1878383	+	2	PA14_21650, PA14_21660
1888121	1891237	+	2	PA14_21720, PA14_21730
1900319	1904259	-	2	PA14_21870, tsp
1905418	1910608	-	6	PA14_21900, PA14_21910, PA14_21920, PA14_21930, PA14_21940, PA14_21960
1914545	1915611	-	2	minE, minD
1929042	1932050	-	2	PA14_22120, PA14_22130
1934977	1936104	-	4	PA14_22180, PA14_22190, PA14_22210, PA14_22220
1937791	1938800	-	2	PA14_22250, PA14_22260
1939714	1941585	-	2	PA14_22270, PA14_22280
1941725	1943893	-	2	vacJ, PA14_22310
1945626	1950101	+	4	PA14_22340, actP, PA14_22370, PA14_22380
1954245	1956553	-	3	ppiA, PA14_22460, PA14_22470
1959439	1961041	-	2	PA14_22520, PA14_22530
1962803	1964870	-	3	PA14_22560, csaA, PA14_22580
1965017	1966881	+	2	PA14_22590, PA14_22600
1969975	1975013	-	5	PA14_22650, PA14_22660, PA14_22670, PA14_22680, trkH
1976148	1978005	-	2	PA14_22720, PA14_22730
1978689	1979745	-	2	cpxR, PA14_22770
1979921	1980809	-	2	yciI, yciB
1981024	1982537	+	2	PA14_22820, PA14_22830
1988578	1991781	+	3	glk, gltR, PA14_22960
1993669	1998040	+	4	PA14_22990, PA14_23000, gltK, oprB
2000159	2003011	+	3	zwf, pgl, PA14_23090
2003686	2005316	+	2	PA14_23110, PA14_23120
2006575	2009507	-	3	gltS, PA14_23170, PA14_23190
2009666	2011846	-	3	PA14_23200, PA14_23210, ubiG
2014754	2019789	+	3	gyrA, serC, pheA
2019858	2023889	+	3	hisC2, PA14_23310, cmk
2025973	2026590	+	2	ihfB, orfA
2030647	2034075	+	3	orfE, PA14_23400, orfJ
2034189	2041165	+	5	PA14_23420, PA14_23430, orfL, orfM, orfN
2047744	2050360	-	2	PA14_23520, PA14_23530
2050430	2052872	+	2	act, gltX
2053723	2055134	+	2	PA14_23590, PA14_23610
2055247	2056331	+	2	kdgA, PA14_23630
2057398	2058964	-	2	PA14_23650, PA14_23670
2063572	2065646	+	2	leuC, leuD
2070083	2074460	+	3	fimV, truA, trpF
2074729	2077538	+	3	accD, folC, PA14_23890
2078376	2081873	+	3	purF, metZ, PA14_23950
2081960	2084648	-	2	xcpQ, xcpP
2084868	2092334	+	9	xcpR, xcpS, xcpT, xcpU, xcpV, xcpW, xcpX, xcpY, xcpZ
2093120	2095272	-	2	PA14_24140, PA14_24150
2097863	2100239	+	2	PA14_24180, PA14_24190
2101330	2104054	+	3	ppnK, PA14_24230, PA14_24240
2104138	2107910	+	3	PA14_24245, PA14_24260, pepN
2108357	2111747	+	2	gbt, PA14_24300
2111927	2115417	+	2	PA14_24310, PA14_24330
2115489	2117452	-	2	PA14_24340, PA14_24350
2120707	2128660	-	7	PA14_24370, PA14_24380, PA14_24390, PA14_24400, PA14_24410, PA14_24420, PA14_24430
2135468	2147663	+	7	pelA, pelB, pelC, pelD, pelE, pelF, pelG
2148060	2149050	+	2	PA14_24580, PA14_24590
2153286	2154652	+	2	PA14_24630, pyrD
2155414	2157592	+	2	PA14_24665, PA14_24675
2160174	2163036	+	2	PA14_24710, PA14_24720
2164495	2165545	-	3	PA14_24740, PA14_24760, PA14_24770
2168842	2171253	-	3	PA14_24810, PA14_24820, PA14_24830
2171419	2172261	+	2	PA14_24840, PA14_24850
2175335	2177088	+	2	moaB2, moeA2
2180121	2183086	+	2	PA14_24950, PA14_24960
2192750	2196103	+	2	fadB, fadA
2200343	2201454	-	2	PA14_25150, lexA
2202589	2204336	+	2	nagZ, PA14_25210
2204383	2208469	-	2	PA14_25220, mfd
2211845	2218934	+	8	nqrA, nqrB, nqrC, nqrD, nqrE, nqrF, PA14_25360, PA14_25370
2220550	2222351	-	3	PA14_25400, PA14_25410, PA14_25420
2222289	2225529	+	3	PA14_25430, PA14_25440, PA14_25450
2228579	2233116	+	7	PA14_25490, PA14_25500, lpxK, PA14_25520, kdsB, ptpA, murB
2237024	2239638	+	3	rluC, PA14_25590, PA14_25600
2240409	2242155	+	3	PA14_25620, rpmF, plsX
2242261	2243965	+	2	fabD, fabG
2244526	2250461	+	7	fabF1, pabC, PA14_25730, tmk, holB, pilZ, PA14_25780
2252711	2254866	+	3	PA14_25810, PA14_25820, PA14_25830
2256891	2258569	+	2	etfB, etfA
2261099	2262276	-	2	cobM, PA14_25930
2263799	2268748	+	2	PA14_25960, cobN
2270442	2272120	+	2	PA14_25990, PA14_26000
2278687	2280846	-	2	PA14_26090, PA14_26110
2287689	2289876	-	3	hisP, hisM, hisQ
2289932	2291946	-	2	hisJ, PA14_26260
2292047	2294758	+	2	PA14_26270, PA14_26280
2294770	2295854	-	2	PA14_26300, PA14_26310
2296065	2297545	+	2	PA14_26330, PA14_26340
2298532	2303510	-	4	PA14_26360, PA14_26390, PA14_26400, PA14_26420
2304770	2307835	-	3	cobK, cbiD, cobL
2308172	2312676	+	4	PA14_26485, cobH, cobI, cobJ
2312746	2314759	+	3	PA14_26540, PA14_26550, PA14_26560
2314953	2316045	+	2	PA14_26570, PA14_26580
2318037	2319382	+	2	PA14_26600, PA14_26610
2322153	2327035	-	4	PA14_26650, PA14_26670, PA14_26690, PA14_26700
2327152	2331523	-	3	PA14_26720, PA14_26730, PA14_26750
2333988	2336016	+	2	PA14_26810, PA14_26830
2340124	2345645	+	5	PA14_26910, PA14_26920, PA14_26930, PA14_26940, PA14_26960
2345654	2348175	-	3	PA14_26970, PA14_26980, PA14_26990
2356352	2360094	-	3	greB, PA14_27140, PA14_27150
2376726	2381838	-	4	PA14_27400, PA14_27410, PA14_27420, PA14_27430
2383065	2384223	+	2	PA14_27450, tpm
2386531	2388245	-	2	PA14_27490, PA14_27500
2388940	2389913	+	2	PA14_27520, PA14_27530
2392375	2393744	+	2	PA14_27560, PA14_27570
2395992	2396695	-	2	PA14_27630, PA14_27640
2397913	2400737	-	2	PA14_27675, PA14_27680
2401079	2402463	-	2	PA14_27690, PA14_27700
2402727	2403576	-	2	PA14_27710, PA14_27720
2407787	2409495	+	2	PA14_27770, PA14_27780
2409545	2411553	-	2	PA14_27800, PA14_27810
2414011	2415332	-	2	PA14_27880, PA14_27890
2418001	2419664	+	2	PA14_27940, PA14_27950
2429873	2431645	-	2	cpg2, PA14_28070
2431760	2432544	-	2	PA14_28080, PA14_28090
2432715	2435260	-	2	PA14_28100, PA14_28110
2435738	2436420	-	2	PA14_28120, PA14_28130
2436828	2438188	+	2	PA14_28140, PA14_28150
2441012	2442041	+	2	PA14_28200, PA14_28210
2444914	2446125	+	2	PA14_28280, PA14_28290
2446265	2447721	-	2	PA14_28300, PA14_28310
2447809	2448544	+	2	PA14_28320, PA14_28330
2461821	2463071	-	2	PA14_28560, endA
2463228	2464228	+	2	PA14_28580, PA14_28590
2465327	2465914	-	2	PA14_28610, PA14_28620
2467219	2474498	+	8	thrS, infC, rpmI, rplT, pheS, pheT, ihfA, PA14_28730
2485638	2492317	+	5	PA14_28820, PA14_28830, PA14_28840, PA14_28850, PA14_28870
2492593	2503392	-	5	PA14_28880, PA14_28895, PA14_28910, PA14_28920, PA14_28930
2503467	2504678	-	3	PA14_28940, PA14_28950, PA14_28960
2504847	2506324	+	2	PA14_28970, PA14_28980
2511265	2513929	-	2	PA14_29040, PA14_29050
2517383	2519030	-	2	PA14_29100, cysK
2520399	2522934	+	3	PA14_29130, PA14_29150, PA14_29160
2524349	2525068	-	2	PA14_29190, PA14_29200
2525215	2528114	-	2	PA14_29210, PA14_29220
2538496	2541670	-	2	PA14_29340, pfeA
2544083	2550155	+	2	PA14_29390, PA14_29400
