Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 222	Expression 151	Expression 154	Expression 271	Expression 544	Expression 568	qValue 222 vs 151	qValue 222 vs 154	qValue 222 vs 271	qValue 222 vs 544	qValue 222 vs 568	qValue 151 vs 154	qValue 151 vs 271	qValue 151 vs 544	qValue 151 vs 568	qValue 154 vs 271	qValue 154 vs 544	qValue 154 vs 568	qValue 271 vs 544	qValue 271 vs 568	qValue 544 vs 568
	16608	16336		-	-	PA14_00150	hypothetical protein	6	9	8	5	6	4	1.0	1.0	1.0	1.0	0.7266228029002495	1.0	0.5413038680728885	1.0	0.010801382300767524	1.0	1.0	0.08088286193598604	1.0	1.0	1.0
17240	17240	16923	16877	-	-	PA14_00160	hypothetical protein	130	123	141	124	132	139	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.995579579487376	1.0	1.0	1.0	1.0	1.0	1.0
18762	18762	17389	17249	-	trkA	PA14_00170	potassium transporter peripheral membrane protein	87	85	81	73	83	70	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9510466044666982	1.0	1.0	1.0	1.0	1.0	1.0
	20093	18789	18763	-	-	PA14_00180	tRNA and rRNA cytosine-C5-methylases	67	68	68	54	62	53	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9005204825972147	1.0	1.0	1.0	1.0	1.0	1.0
21035	21034	20090		-	fmt	PA14_00190	methionyl-tRNA formyltransferase	70	58	66	50	63	52	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
21594	21594	21088	21088	-	def	PA14_00200	peptide deformylase	342	301	343	220	259	288	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9898983397887358	1.0	1.0	1.0	1.0	1.0	1.0
21623	21733	22758	22758	+	-	PA14_00210	lysin domain-containing protein	71	95	76	94	85	66	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8377612906718599	1.0	1.0	1.0	1.0	1.0	1.0
	22893	23981		+	-	PA14_00230	Rossmann fold nucleotide-binding protein	9	13	9	12	10	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.858576578538083	1.0	1.0	1.0	1.0	1.0	1.0
24022	24022	24579	24579	+	-	PA14_00240	hypothetical protein	71	81	74	78	69	70	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9863131796435706	1.0	1.0	1.0	1.0	1.0	1.0
25566	25566	24589	24580	-	qor	PA14_00250	quinone oxidoreductase	73	85	67	77	73	64	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8428780622311963	1.0	1.0	1.0	1.0	1.0	1.0
25720	25757	26674	26731	+	hemF	PA14_00280	coproporphyrinogen III oxidase	81	95	74	111	192	149	1.0	1.0	1.0	0.27192175266999696	0.6672241638472824	1.0	1.0	1.0	0.9071650217166809	1.0	0.1779656438735598	0.49540998678183074	1.0	1.0	1.0
26732	26732	27556	27568	+	aroE	PA14_00290	shikimate 5-dehydrogenase	74	98	81	106	146	121	1.0	1.0	0.9619539371602953	0.5629760314925786	0.7637454544901681	1.0	1.0	1.0	0.9903226631520243	1.0	0.9411006333301453	0.9555263621396635	1.0	1.0	1.0
27667	27667	28653		+	plcB	PA14_00300	phospholipase C, PlcB	80	132	110	139	115	100	1.0	1.0	0.7348579001526457	1.0	1.0	1.0	1.0	1.0	0.9353860800913462	1.0	1.0	1.0	1.0	1.0	1.0
	28634	29920		+	-	PA14_00310	peptidyl-prolyl isomerase	194	304	286	370	262	238	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	29917	30519	30522	+	-	PA14_00320	hypothetical protein	112	201	148	221	157	149	0.8718285501483516	1.0	0.5179089000290255	1.0	1.0	1.0	1.0	1.0	0.9165197058010278	1.0	1.0	1.0	1.0	1.0	1.0
32080	32076	30523	30523	-	-	PA14_00340	sulfate transporter	36	61	49	82	57	57	0.8537307451329974	1.0	0.20877845912475124	0.962809471243322	0.7781686550022108	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	33004	32081		-	-	PA14_00360	hypothetical protein	8	7	7	9	7	7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
34532	34532	33021		-	betC	PA14_00380	choline sulfatase	21	19	23	22	17	19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	34645	35559	35559	+	-	PA14_00400	LysR family transcriptional regulator	18	19	18	16	16	15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9076442805703994	1.0	1.0	1.0	1.0	1.0	1.0
35568	35570	35947		+	-	PA14_00410	dioxygenase	131	118	109	97	112	103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9898983397887358	1.0	1.0	1.0	1.0	1.0	1.0
36298	36291	35926		-	-	PA14_00420	histidine phosphotransfer domain-containing protein	51	51	51	41	45	39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8575794663051206	1.0	1.0	1.0	1.0	1.0	1.0
37107	36922	36299	36299	-	-	PA14_00430	two-component response regulator	31	23	27	24	24	23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	37914	37108	37108	-	trpA	PA14_00440	tryptophan synthase subunit alpha	55	49	42	43	45	43	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
39119	39119	37911		-	trpB	PA14_00450	tryptophan synthase subunit beta	80	64	63	63	64	63	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	39223	40110		+	trpI	PA14_00460	transcriptional regulator TrpI	19	17	16	15	14	14	1.0	1.0	1.0	1.0	0.9274059410428453	1.0	1.0	1.0	0.9552719645325569	1.0	1.0	1.0	1.0	1.0	1.0
40172	40211	40426	40452	+	-	PA14_00470	hypothetical protein	773	957	1090	933	1030	1009	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
40453			40609	?	-	predicted RNA	-	1520	2020	1667	1909	1651	1921	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
40610	40610	40837	40837	+	-	PA14_00480	hypothetical protein	2080	2747	2724	3329	2669	3108	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
40838	41133	42821	42933	+	-	PA14_00490	hemolysin activation/secretion protein	26	25	28	26	25	21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.971820068297425	1.0	1.0	1.0	1.0	1.0	1.0
42934	42934	53265	53534	+	-	PA14_00510	hemagglutinin	36	29	31	25	30	24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
54535	54577	54699	54737	+	-	PA14_00520	hypothetical protein	32	27	22	31	43	39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.911220574679297	1.0	0.6417756401199602	0.8990390095241015	1.0	1.0	1.0
54903	54909	55304	55397	+	-	PA14_00530	hypothetical protein	86	77	83	107	70	76	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	56984	55575		-	-	PA14_00550	hypothetical protein	18	16	17	14	17	14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9681997054802729	1.0	1.0	1.0	1.0	1.0	1.0
57148	57148	58476	58589	+	exoT	PA14_00560	exoenzyme T	176	174	208	194	168	183	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	59018	59704		+	-	PA14_00570	lipoprotein	12	17	13	10	14	8	1.0	1.0	1.0	1.0	0.2956436261727195	1.0	0.5112130825756612	1.0	0.003245930015089331	1.0	1.0	0.3003370780933923	1.0	1.0	0.10442130283833377
59735	59735	60088		+	-	PA14_00580	lipoprotein	16	24	17	14	26	12	1.0	1.0	1.0	1.0	0.7640979972758316	1.0	0.35468744406912606	1.0	0.03766890335957321	1.0	0.7430857223496818	0.9555263621396635	0.23041050653695166	1.0	0.013058603066753568
	60241	60750		+	-	PA14_00590	lipoprotein	17	19	16	13	18	11	1.0	1.0	0.9506189352044233	1.0	0.30496460414325705	1.0	0.9147276977207018	1.0	0.0762212167650734	1.0	1.0	0.6449164127779531	1.0	1.0	0.267365031979743
	61148	60765		-	-	PA14_00600	transcriptional regulator	9	15	12	9	14	6	1.0	1.0	1.0	1.0	0.31262481392910124	1.0	0.22396299964992883	1.0	9.463995717294251E-5	1.0	1.0	0.0417877569913114	1.0	1.0	0.002770010819167924
	63091	61430		-	-	PA14_00620	hypothetical protein	6	12	8	12	11	9	0.2582620811616467	1.0	0.4413144815179821	0.6495418008850242	1.0	1.0	1.0	1.0	0.7515895387121525	1.0	1.0	1.0	1.0	1.0	1.0
63616	63701	63841	64062	+	-	PA14_00630	hypothetical protein	131	82	103	136	115	161	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4039778035133948	1.0	1.0	0.8930963899348451	1.0	1.0	1.0
64665	64665	66497	66497	+	phzH	PA14_00640	potential phenazine-modifying enzyme	63	10	10	20	20	57	3.405165842172116E-17	3.0448265904906274E-25	0.00395987613144887	0.020204899901026675	1.0	1.0	0.5976093479095154	0.7736260635324185	7.250100758640265E-14	0.2049990203627254	0.14192346473136674	1.9042869931712662E-20	1.0	0.019134259156445583	0.09953961829918898
66983	66978	66550	66498	-	-	PA14_00650	hypothetical protein	105	83	96	135	110	209	1.0	1.0	1.0	1.0	0.39629252993612296	1.0	1.0	1.0	0.1363609350938469	1.0	1.0	0.16471389578717488	1.0	1.0	1.0
67735	67735	67187		-	-	PA14_00660	RNA 2'-phosphotransferase-like protein	17	16	12	12	20	12	1.0	1.0	0.8948639257705542	1.0	0.6604083874040715	1.0	1.0	1.0	0.7209251625463053	1.0	0.2887646188443694	1.0	1.0	1.0	0.29699316668176806
68293	68280	67774	67736	-	-	PA14_00670	hypothetical protein	45	52	34	38	40	32	1.0	1.0	1.0	1.0	0.827199365390974	0.999505820993335	1.0	1.0	0.2872319859022699	1.0	1.0	1.0	1.0	1.0	1.0
	69266	68346		-	-	PA14_00680	LysR family transcriptional regulator	10	10	9	10	10	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9510466044666982	1.0	1.0	1.0	1.0	1.0	1.0
	69374	70261		+	-	PA14_00690	hypothetical protein	10	6	8	8	7	9	0.41668339026033896	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8653159580522762	1.0	1.0	1.0	1.0	1.0	1.0
	70324	71028		+	-	PA14_00700	hypothetical protein	7	7	7	8	6	8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9962017771681277	1.0	1.0	1.0	1.0	1.0	1.0
71112	71112	71567	71598	+	osmC	PA14_00710	osmotically inducible protein OsmC	131	178	140	165	194	180	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
71678	71678	71911	71911	+	-	PA14_00720	hypothetical protein	93	118	105	107	148	145	1.0	1.0	1.0	0.9263069907633735	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
72364	72360	71923	71912	-	-	PA14_00730	hypothetical protein	141	115	151	125	134	126	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9955915553035619	1.0	1.0	1.0	1.0	1.0	1.0
72833	72833	72417	72366	-	-	PA14_00740	lipoprotein	24	28	31	32	29	24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
72834	72925	74052	74059	+	-	PA14_00750	hypothetical protein	75	69	68	68	64	70	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
75043	75043	74060	74060	-	-	PA14_00760	hypothetical protein	82	70	65	73	65	63	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
	75741	75076	75054	-	-	PA14_00770	hypothetical protein	48	50	48	49	51	46	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
76276	76276	75734		-	-	PA14_00780	hypothetical protein	82	81	78	67	71	71	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
76354	76354	78399		+	prlC	PA14_00790	oligopeptidase A	216	174	156	142	166	186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	78396	78671	78759	+	-	PA14_00800	hypothetical protein	117	123	81	92	107	102	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9531098971916475	1.0	1.0	1.0	1.0	1.0	1.0
	78760	79818		+	-	PA14_00810	DNA repair photolyase	18	17	17	18	19	22	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
81024	80963	80049	80038	-	-	PA14_00820	hypothetical protein	130	136	79	46	122	73	1.0	1.0	0.02869866996823199	1.0	0.7330834560252355	1.0	0.028241328109303514	1.0	0.5982987486853415	1.0	1.0	1.0	0.23132414521665265	1.0	1.0
	82737	81025	81025	-	-	PA14_00830	hypothetical protein	63	51	46	41	54	48	1.0	1.0	0.9639549635151372	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	83929	82730		-	-	PA14_00850	hypothetical protein	32	20	21	14	24	18	1.0	1.0	0.058504397944560665	1.0	0.35169881759355737	1.0	1.0	1.0	0.9898983397887358	1.0	1.0	1.0	1.0	1.0	1.0
	84648	83929		-	-	PA14_00860	ABC transporter ATP-binding protein	40	24	21	16	28	24	0.9250249822490944	0.2549927114328418	0.013272904264067183	1.0	0.44307505710420375	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
87750	87743	84645		-	ppkA	PA14_00875	serine/threonine protein kinase PpkA	58	40	36	33	54	45	1.0	1.0	0.9182478493133541	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
88479	88479	87751	87751	-	-	PA14_00890	phosphoprotein phosphatase	59	38	44	27	54	45	1.0	1.0	0.06845148059631993	1.0	1.0	1.0	1.0	1.0	0.9958932015506519	1.0	1.0	1.0	0.4214511511340891	1.0	1.0
	89169	88489	88480	-	-	PA14_00900	hypothetical protein	59	40	40	28	50	46	1.0	1.0	0.07165798898069095	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7373729273663083	0.8976659540374182	1.0
92474	92474	89166		-	-	PA14_00910	hypothetical protein	62	40	40	36	48	45	1.0	1.0	0.9735403731270649	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
94045	94045	92696	92475	-	-	PA14_00925	hypothetical protein	81	54	62	54	60	54	1.0	1.0	1.0	1.0	0.967085516836914	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
95386	95386	94052	94047	-	-	PA14_00940	hypothetical protein	60	47	54	46	51	45	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
95866	95866	95402	95387	-	-	PA14_00960	lipoprotein	37	32	27	24	30	24	1.0	1.0	0.7787580154017878	1.0	0.7166356946159256	1.0	1.0	1.0	0.8844641562272951	1.0	1.0	1.0	1.0	1.0	1.0
	96453	95911	95870	-	-	PA14_00970	hypothetical protein	95	90	78	74	70	81	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
97482	97409	96450		-	-	PA14_00980	hypothetical protein	79	71	68	82	81	80	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
97483	97777	98811	98892	+	-	PA14_00990	hypothetical protein	42	25	33	22	24	19	1.0	1.0	0.3017121949180816	0.9867428338258729	0.06750915054419358	1.0	1.0	1.0	0.7871333346562233	1.0	1.0	0.49871246483584775	1.0	1.0	1.0
98899	98900	99418	99429	+	-	PA14_01010	hypothetical protein	186	137	126	117	195	107	1.0	1.0	0.9246897589026598	1.0	0.634250436442788	1.0	1.0	1.0	0.8649486333876769	1.0	1.0	1.0	1.0	1.0	0.8644454234538804
99430	99431	100927	101002	+	-	PA14_01020	hypothetical protein	103	85	70	55	94	57	1.0	1.0	0.7827653512142698	1.0	0.8137570277143039	1.0	1.0	1.0	0.8668433941547329	1.0	1.0	1.0	1.0	1.0	1.0
101003	101003	101491	101491	+	-	PA14_01030	hypothetical protein	324	239	180	116	280	158	1.0	1.0	0.09103653617377053	1.0	0.6480538183597291	1.0	0.7701942473182368	1.0	0.858576578538083	1.0	1.0	1.0	0.7804200300887102	1.0	1.0
101500	101659	102504	102505	+	-	PA14_01040	secretion protein	64	38	44	28	47	34	1.0	1.0	0.05482846796666156	1.0	0.30496460414325705	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
102506	102506	103015		+	-	PA14_01060	hypothetical protein	24	18	19	16	23	17	1.0	1.0	0.5122748249530381	1.0	0.7633529704340992	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	103012	104871		+	-	PA14_01070	hypothetical protein	24	19	18	13	22	15	1.0	1.0	0.3464890616217027	1.0	0.7322129540051052	1.0	1.0	1.0	0.9353860800913462	1.0	1.0	1.0	1.0	1.0	1.0
	104835	105881		+	-	PA14_01080	hypothetical protein	27	16	17	12	27	14	0.8030841589616534	0.9035545585982461	0.038173524422312144	1.0	0.17431212084473988	1.0	1.0	1.0	0.9903226631520243	1.0	0.7290008802817025	1.0	0.17491858638048174	1.0	0.2286832660706258
	105874	108582	108582	+	-	PA14_01100	ClpA/B-type chaperone	59	37	37	29	57	35	1.0	1.0	0.6293654747690027	1.0	0.92281206687212	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
108583	108629	110560	110560	+	-	PA14_01110	hypothetical protein	43	27	24	19	37	23	1.0	0.9053571237184991	0.14758446447377793	1.0	0.4633229937465512	1.0	1.0	1.0	0.9531098971916475	1.0	1.0	1.0	0.9354978757887803	1.0	0.9531730264222462
110971	110959	110675	110649	-	-	PA14_01120	hypothetical protein	50	53	37	36	57	35	1.0	1.0	0.9453263725510057	1.0	0.8173849548612224	1.0	1.0	1.0	0.6353691469616227	1.0	0.9777789173655231	1.0	1.0	1.0	0.7672220349753225
	111205	110972	110972	-	-	PA14_01130	hypothetical protein	72	69	65	61	95	69	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
112592	112514	111195		-	-	PA14_01140	hypothetical protein	27	23	24	19	23	16	1.0	1.0	0.9876581352360437	1.0	0.47883596070674583	1.0	1.0	1.0	0.6564695726160299	1.0	1.0	0.9504224147468595	1.0	1.0	1.0
113037	113027	112593	112593	-	-	PA14_01150	hypothetical protein	28	27	24	28	27	24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
113245	113281	115506	115506	+	-	PA14_01160	hypothetical protein	83	70	87	89	79	75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
115507	115534	115983		+	-	PA14_01170	hypothetical protein	44	34	33	31	34	34	1.0	1.0	0.9369319577507959	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	115913	117112		+	-	PA14_01180	hypothetical protein	24	20	22	20	25	19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	117109	118146		+	-	PA14_01190	3-oxoacyl-ACP synthase	28	23	24	20	26	19	1.0	1.0	1.0	1.0	0.8488065835068137	1.0	1.0	1.0	0.9463950782986829	1.0	1.0	1.0	1.0	1.0	1.0
	118146	119237	119237	+	-	PA14_01200	hypothetical protein	43	33	38	33	41	34	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
119242	119248	120168	120177	+	-	PA14_01220	hypothetical protein	81	57	63	53	70	61	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9941338349082152	1.0	1.0	1.0	1.0	1.0	1.0
120178	120178	121410	121503	+	-	PA14_01230	hypothetical protein	37	27	27	23	27	24	1.0	1.0	0.7004309643661399	1.0	0.8461692294300347	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
121784	121786	122514	122514	+	-	PA14_01240	carbonic anhydrase	103	107	86	80	98	88	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9234151866174373	1.0	1.0	1.0	1.0	1.0	1.0
	122725	124296		+	-	PA14_01250	sulfate transporter	17	16	19	21	18	16	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	124433	125029		+	-	PA14_01270	hypothetical protein	13	15	19	15	14	12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9435942783980018	1.0	1.0	0.3959754279216171	1.0	1.0	1.0
125189	125293	126417	126417	+	coxB	PA14_01290	cytochrome c oxidase subunit II	133	95	185	117	68	106	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9941338349082152	1.0	0.5677673708341342	1.0	1.0	1.0	1.0
126418	126427	128019	128019	+	coxA	PA14_01300	cytochrome c oxidase subunit I	73	49	68	71	42	75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8930483998764893	1.0	1.0	1.0	1.0	1.0	1.0
128020	128030	128584	128594	+	-	PA14_01310	cytochrome C oxidase assembly protein	45	37	58	68	36	68	1.0	1.0	1.0	1.0	1.0	1.0	0.8788045797403866	1.0	0.6277011750299352	1.0	1.0	1.0	1.0	1.0	0.9756432492129292
128595	128595	129482	129482	+	coIII	PA14_01320	cytochrome c oxidase subunit III	161	166	209	207	164	238	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
129707	129707	129498	129484	-	-	PA14_01330	hypothetical protein	432	489	604	646	666	715	1.0	1.0	0.9807870268735102	1.0	0.8996046965528876	1.0	1.0	1.0	0.9364206620653283	1.0	1.0	1.0	1.0	1.0	1.0
129708	129723	130517		+	-	PA14_01340	hypothetical protein	31	24	40	33	23	32	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	130492	131070	131070	+	-	PA14_01350	hypothetical protein	18	18	24	25	14	26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	0.9271780203472878
	131135	132208		+	-	PA14_01360	hypothetical protein	18	15	16	21	12	21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9762953374850944	1.0	1.0	1.0	1.0	1.0	1.0
132234	132234	133148	133148	+	-	PA14_01380	protoheme IX farnesyltransferase	40	39	44	48	40	54	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
